Layer,Name,GEOID,Population,CIP_2010-2020,CIP_2010-2020_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,POP_2018-2022,POP_2018-2022_moe,EKW_2022,EKW_2022_moe,RBS_2018-2022,RBS_2018-2022_moe,RBU_2018-2022,RBU_2018-2022_moe,TRF_2020,TRF_2020_moe,EVR_2018,EVR_2018_moe,VAC_2018-2022,VAC_2018-2022_moe
,,,,"Change in Population (% change), 2010-2020",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Population (residents), 2018-2022",(90% margin of error),"Walkability Index, 2022",(90% margin of error),"Severely rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Traffic intensity (distance-weighted vehicles), 2020",(90% margin of error),"Eviction rate (% of renter-occupied households), 2018",(90% margin of error),"Vacant (% of housing units), 2018-2022",(90% margin of error)
Census tract,Tract 207.01,17031020701,1879,10.26995305,,61.97916666666666,10.019136748084794,1728.0,186.0,16.33,,31.16883116883117,17.811190127441062,51.94805194805194,18.89197425862464,315.2032610645024,,0.0,,5.7953144266337855,5.194088815429009
Census tract,Tract 207.02,17031020702,7717,7.269947178,,41.38135996195911,16.764185066600984,8412.0,1911.9999999999998,14.75,,27.91327913279133,10.011452623719276,44.105691056910565,12.984903245235916,314.16801354626153,,0.36,,3.3476060724017125,3.4072062772537186
Census tract,Tract 208.01,17031020801,5648,3.481128619,,35.876460767946575,7.144407369875155,5990.0,1041.0,14.54,,27.22689075630252,9.288073850517026,48.65546218487395,7.006783816103714,340.1907587613845,,0.25,,7.170294494238156,4.48907982345391
Census tract,Tract 208.02,17031020802,7546,8.372827804,,25.55364314400459,10.04533148234754,8715.0,1570.0,14.5,,24.67718794835007,11.797730358614873,37.01578192252511,13.269072582196438,275.2563253937185,,0.5,,10.273684210526316,6.412054773163802
Census tract,Tract 209.01,17031020901,5848,12.00919364,,22.23660786535038,5.932485240033111,6179.0,753.0,13.22,,22.38163558106169,7.970295711363103,55.38020086083214,15.097140533308687,279.08045871650137,,1.15,,11.16053376465831,4.689528675776556
Census tract,Tract 209.02,17031020902,4488,4.713019132,,32.394043528064145,8.489682878835977,4365.0,481.0,14.5,,24.205914567360352,17.005821106555775,55.202628696604606,18.262333362178435,303.03544865768714,,1.05,,9.977452085682074,5.201150499287086
Census tract,Tract 301.01,17031030101,3687,-5.291548934,,37.5319874893375,7.270923705684781,3517.0,438.0,12.83,,26.11832611832612,10.186760671690925,57.14285714285714,13.526464739245377,363.3064132165446,,1.07,,13.299449385853451,7.332783767024855
Census tract,Tract 301.02,17031030102,3121,-2.59051186,,35.61598951507208,9.503657839575023,3052.0,643.0,11.61,,22.07670720299345,8.298232104608832,39.195509822263794,10.626992531140855,384.5862753607177,,0.58,,12.447552447552448,5.175974043484692
Census tract,Tract 301.03,17031030103,2104,9.128630705,,48.88985633434916,6.152123946968882,2297.0,218.0,12.08,,16.256830601092894,6.52824800621475,38.79781420765027,10.00385494748124,535.7377155537073,,0.46,,11.053540587219343,8.213282180135698
Census tract,Tract 301.04,17031030104,3521,-4.346644933,,58.33869929169349,3.8353133084624855,3106.0,315.0,8.58,,36.318407960199,12.039764194370353,58.540630182421225,13.055724285419442,596.5420154467765,,0.48,,15.515771526001704,8.661726859838513
Census tract,Tract 302,17031030200,5627,4.805364127,,64.4040331292762,14.545588347043644,5554.0,1056.0,16.0,,12.098581030619863,5.802248559150581,32.412247946228526,11.640158533302966,267.762104357313,,0.31,,5.9875867104782765,4.30193791414449
Census tract,Tract 303,17031030300,3148,-5.237808549,,28.22624931356398,6.116440182103008,3642.0,601.0,14.83,,15.92741935483871,7.445491434371526,31.955645161290324,9.392243016539789,514.0363837519695,,0.66,,1.3898080741230974,2.175829180374171
Census tract,Tract 304,17031030400,2597,-3.2414307,,58.25655563430191,7.667491765823513,2822.0,439.0,16.5,,16.70616113744076,8.92062373166732,34.241706161137444,13.005064079255057,570.6585659259144,,0.61,,5.473372781065089,4.790273427766647
Census tract,Tract 305,17031030500,6183,-3.315089914,,59.70996216897856,6.1919947911342526,6344.0,726.0,15.29,,14.091218515997278,7.538701690903031,28.38665759019741,9.763786458480714,571.8114969940159,,0.27,,9.44140862173649,5.570003198435608
Census tract,Tract 306.01,17031030601,3293,8.251150563,,40.864492177141344,13.43354434798666,3771.0,957.0,11.28,,15.0,6.306175813608792,54.42028985507247,16.42613903573873,380.00484695365935,,0.46,,13.02540415704388,6.676547004471353
Census tract,Tract 306.03,17031030603,2045,-2.386634845,,46.33405639913232,10.767030410274543,2305.0,289.0,10.58,,16.80672268907563,8.35018456305201,38.655462184873954,10.95549928545505,983.949462822396,,0.22999999999999998,,12.82051282051282,6.700941938850133
Census tract,Tract 306.04,17031030604,3737,-5.29650279,,53.098254022595,8.020041668038608,2921.0,249.0,10.588887684878188,,25.869993434011818,10.016228484395189,44.254760341431385,13.297513505687808,1124.342973040781,,0.5767017384515858,,14.580801944106923,7.657032241665651
Census tract,Tract 307.01,17031030701,1671,7.876049064,,44.40026507620941,3.5421039948064084,1509.0,185.0,12.67,,28.060522696011,9.435382872903196,45.2544704264099,10.728851676737133,1159.372025,,0.97,,10.873983739837398,5.849010407603879
Census tract,Tract 307.02,17031030702,2318,5.322480579,,53.92762577228597,4.975068053992338,2266.0,376.0,11.71138300703611,,28.665568369028005,13.531069769372408,48.59967051070841,10.692586256344583,1343.2297304262293,,0.5456373500238916,,8.519637462235648,5.185169641521175
Census tract,Tract 307.03,17031030703,3075,8.657243816,,55.12447462010993,6.677114902295091,3093.0,351.0,13.94,,16.444132115249474,5.4919937843589945,45.32677442023893,10.954617967442806,638.8521441403252,,0.38,,7.936507936507936,4.580135879037981
Census tract,Tract 307.06,17031030706,2933,-3.141873172,,60.7805255023184,11.221018149144395,2588.0,357.0,13.580000000000002,,40.99216710182768,12.004433202890752,59.442993907745866,13.867730091532602,988.8869710992842,,0.6999999999999998,,11.932615816565278,7.670534511700337
Census tract,Tract 308,17031030800,4284,-0.970873786,,70.96317280453258,12.0128657038889,4236.0,511.00000000000006,15.13,,16.85736079328757,8.851094778173172,41.64759725400457,13.690073225018775,287.9315208905929,,0.19,,6.109185441941074,6.2935761426188686
Census tract,Tract 309,17031030900,2952,-2.50990753,,71.84655396618986,10.623882856752152,3076.0,340.0,17.38,,17.9519595448799,9.201561234938032,43.23640960809102,17.463784403973072,227.21770805176152,,0.0,,11.476389719067544,5.776802765057815
Census tract,Tract 310,17031031000,3868,5.79868709,,69.87951807228916,5.271587414610884,3652.0,539.0,15.28,,8.674928503336512,5.799026979585896,39.46615824594852,18.3315008244151,316.7116326689504,,0.25,,9.365006852444038,6.123093962824004
Census tract,Tract 311,17031031100,4691,6.565197637,,68.74234381380155,6.316542358077494,4898.0,626.0,15.56,,19.905417024935517,7.3600403155716005,37.05932932072227,8.572014250288136,227.7804388052228,,0.48,,4.474123539232053,3.981534907280572
Census tract,Tract 312,17031031200,5541,-1.894475921,,24.797843665768195,4.952326901094885,5936.0,766.0,15.040000000000001,,30.46657381615599,9.649855957547317,55.571030640668525,12.743324997350369,253.9205416868436,,0.7,,3.624198494563703,2.874761177334132
